EmailAddress__c,Comments__c,Level__c,LastName__c,FirstName__c,PhoneNumber__c,Client_Status__c,Student_Name__c
test@digitlearning.ds,No comment,Beginner,Didier,Marsaudon,254352671,Prospect,"Didier, Marsaudon"
test1@digitlearning.ds,No comment,Intermediate,Jean,Jacques,254352672,Active client,"Jean, Jacques"
test2@digitlearning.ds,Training completed – satisfied client,Advanced,Sabine,Billord,254352673,Former client,"Sabine, Billord"
test3@digitlearning.ds,No comment,Advanced,CÃ©cile,le petit,254352674,Active client,"CÃ©cile, le petit"
test4@digitlearning.ds,No comment,Beginner,Isabelle,le noir,254352675,Active client,"Isabelle, le noir"
test5@digitlearning.ds,No comment,Intermediate,Simon,Bascourd,254352676,Active client,"Simon, Bascourd"
test6@digitlearning.ds,No comment,Advanced,Savio,Neau,254352677,Prospect,"Savio, Neau"
test7@digitlearning.ds,Training completed – satisfied client,Advanced,Christophe,Frenkiel,254352678,Former client,"Christophe, Frenkiel"
test8@digitlearning.ds,Training completed – satisfied client,Intermediate,Bruno,Jouvet,254352679,Former client,"Bruno, Jouvet"
test9@digitlearning.ds,No comment,Intermediate,Vincent,Capron,254352680,Prospect,"Vincent, Capron"
