EmailAddress__c,Available__c,TelephoneNumber__c,Profession__c,Name
test11@digitlearning.ds,Y,335246378,Teacher,Franc Du bois
test12@digitlearning.ds,N,335246379,IT Expert,Francçoise marjorie
test13@digitlearning.ds,Y,335246380,Project Manager,Christophe le noir
test14@digitlearning.ds,Y,335246381,Developer,Liliane champs
test15@digitlearning.ds,Y,335246382,IT Expert,Sarah blanc
test16@digitlearning.ds,N,335246383,Consultant,Jacques dupont
test17@digitlearning.ds,N,335246384,Consultant,Celine trankiem
test18@digitlearning.ds,N,335246385,Teacher,Sabine trois
test19@digitlearning.ds,Y,335246386,Developer,Vincent Mariot
test20@digitlearning.ds,N,335246387,Developer,Marie goalec
